PIXEL,LABEL
133122,Sewickley Heights Borough
133123,Bell Acres Borough
133123,Sewickley Heights Borough
133124,Sewickley Heights Borough
133125,Sewickley Heights Borough
133126,Sewickley Borough
133126,Sewickley Heights Borough
133127,Aleppo Township
133127,Sewickley Borough
133127,Sewickley Heights Borough
133128,Aleppo Township
133128,Glen Osborne Borough
133128,Haysville Borough
133129,Aleppo Township
133129,Coraopolis Borough
133129,Glen Osborne Borough
133129,Glenfield Borough
133129,Haysville Borough
133129,Neville Township
133130,Coraopolis Borough
133130,Neville Township
133131,Coraopolis Borough
133131,Moon Township
133132,Moon Township
133132,Robinson Township
133133,Moon Township
133133,Robinson Township
133134,Moon Township
133134,Robinson Township
133135,Moon Township
133135,Robinson Township
133136,Moon Township
133136,Robinson Township
133137,Robinson Township
133138,Robinson Township
133139,Collier Township
133139,Robinson Township
133140,Collier Township
133140,Robinson Township
133141,Collier Township
133142,Collier Township
133143,Collier Township
133144,Collier Township
133145,Collier Township
133145,South Fayette Township
133146,South Fayette Township
133147,South Fayette Township
133148,South Fayette Township
133149,South Fayette Township
133150,South Fayette Township
133151,South Fayette Township
133152,
133153,
134111,
134112,Marshall Township
134113,Marshall Township
134114,Marshall Township
134115,Marshall Township
134116,Marshall Township
134117,Marshall Township
134118,Marshall Township
134119,Franklin Park Borough
134119,Marshall Township
134120,Bell Acres Borough
134120,Franklin Park Borough
134121,Bell Acres Borough
134121,Franklin Park Borough
134122,Bell Acres Borough
134122,Sewickley Heights Borough
134122,Sewickley Hills Borough
134123,Sewickley Heights Borough
134123,Sewickley Hills Borough
134124,Sewickley Heights Borough
134125,Sewickley Heights Borough
134126,Sewickley Heights Borough
134127,Aleppo Township
134127,Sewickley Heights Borough
134128,Aleppo Township
134128,Sewickley Heights Borough
134129,Aleppo Township
134129,Glenfield Borough
134129,Haysville Borough
134129,Neville Township
134130,Coraopolis Borough
134130,Glenfield Borough
134130,Neville Township
134130,Robinson Township
134131,Coraopolis Borough
134131,Moon Township
134131,Robinson Township
134132,Moon Township
134132,Robinson Township
134133,Moon Township
134133,Robinson Township
134134,Robinson Township
134135,Robinson Township
134136,Robinson Township
134137,Robinson Township
134138,Robinson Township
134139,Collier Township
134139,Robinson Township
134140,Collier Township
134141,Collier Township
134142,Collier Township
134143,Collier Township
134144,Collier Township
134145,Collier Township
134145,South Fayette Township
